PLUIDM|PLUIGR|TAG|RENCENG|MINOR|KDIDM
20042669||N|0|3|G089
20055556|1315470|N|1|1|G089
10019833|1024420|N|1|1|G089
10023495|0643530|N|1|2|G089
20017162|1138960|R|1|1|G089
20032230||R|0|1|G089
10003086|1398690|N|1|1|G089
20047071||R|0|1|G089
20044782||N|0|1|G089
20049432||R|0|1|G089
20051555|1441900|N|1|1|G089
10003421|1418760|N|1|24|G089
20026677|1370770|N|1|1|G089
20047409||R|0|1|G089
20047647||N|0|1|G089
20011449|1084750|N|1|1|G089
20054936||N|0|1|G089
20053912||N|0|1|G089
20053908|1383180|R|1|1|G089
20043072||N|0|1|G089
20041566||N|0|1|G089
20040921|1239250|N|1|1|G089
20029343||N|0|1|G089
20028781||N|0|1|G089
20004241||R|0|12|G089
20060343||R|0|1|G089
20048732||R|0|1|G089
20037671||R|0|1|G089
20036813||R|0|1|G089
10000545||N|0|2|G089
20047163|1369130|N|1|1|G089
10031965|0805980|R|1|3|G089
20121972|1509640|T|1|2|G089
20127248|1590270|N|1|1|G089
20054951|1535290||1|2|G089
20036752|1152650||1|1|G089
20052548|1259740||1|1|G089
20094871|1510800|N|1|1|G089
20078239|1391080||1|2|G089
20010358|1393940||1|2|G089
20126648|1612810||1|4|G089
20048122||N|0|1|G089
10023915|1012050|R|1|1|G089
20037419||N|0|1|G089
20053725||N|0|1|G089
20054415|1382480|R|1|1|G089
20063096||N|0|1|G089
20052241||N|0|1|G089
20031794|1564870|N|1|1|G089
20035180|1150250|N|1|1|G089
20035766||N|0|1|G089
20037500||N|0|1|G089
20027222||R|0|6|G089
20071025|1478070|R|1|1|G089
20071938||N|0|1|G089
20116490|1704280||1|3|G089
20014071|1118970||1|4|G089
20015250|1112250||1|5|G089
10036806|1373080||1|5|G089
10000501|1593360|T|1|1|G089
20103449|1711010||1|1|G089
10000101|0002330||1|2|G089
20047786|1284130||1|1|G089
20013133|1285910||1|2|G089
20090400|1419670||1|1|G089
20074031|1274150|N|1|1|G089
20073708|1312040|N|1|1|G089
20077025|1281480|N|1|1|G089
20077011|1281160|N|1|1|G089
20077308|1352430|R|1|1|G089
20076466|1565230|N|1|100|G089
20078208|1391060|N|1|30|G089
20078758|1534300|N|1|0|G089
20081031|1265950|N|1|1|G089
20131283|1858210||1|1|G089
20125383|1589010||1|1|G089
20053054|1261840||1|1|G089
20042356|1348900||1|1|G089
20045453||N|0|1|G089
20024911||N|0|1|G089
10002987|0059390|N|1|2|G089
20016992|1122520|R|1|1|G089
20040629|1398670|R|1|1|G089
20013694|1102710|R|1|2|G089
20046052||R|0|10|G089
10037005|1244760|N|1|1|G089
20063851||N|0|1|G089
20048760||R|0|3|G089
10000731|0031970||1|2|G089
20092063|1502110|S|1|3|G089
10008550|0338850|D|1|48|G089
20122972|1569400||1|2|G089
20078242|1505730||1|2|G089
20056958|1188000||1|2|G089
20098400|1467390||1|1|G089
20128799|1974850|I|1|1|G089
20131395|1660990||1|1|G089
20113062|1632110||1|1|G089
20080088|1390560||1|2|G089
20054867|1653050|N|1|6|G089
20081608|1391150|R|1|1|G089
20083790|1635250|N|1|40|G089
20084680|1499210|R|1|1|G089
20054327|1308960|R|1|1|G089
20115353|1672350|F|1|1|G089
20124763|1580520|N|1|2|G089
20079001|1534630|N|1|1|G089
20065044|1371620|N|1|2|G089
20066689|1349960|N|1|2|G089
20066487||N|0|1|G089
20067557|1479480|R|1|1|G089
20069145|1361570|N|1|2|G089
20069285||N|0|1|G089
20069294||N|0|1|G089
20069797|1318170|N|1|1|G089
10015124|0431360||1|8|G089
10000143|0293320|L|1|3|G089
10040124|0890540||1|1|G089
20092548|1375930||1|2|G089
20123057|1569690||1|0|G089
20069691|1415890|Z|1|300|G089
20111403|1711220|Z|1|1|G089
10037184|0276790|N|1|2|G089
10033603|1084530|N|1|1|G089
20024076||R|0|2|G089
10038102|0875020|N|1|1|G089
20050083||N|0|1|G089
10011249|1021770|N|1|2|G089
20035508||R|0|1|G089
20036448|1259880|R|1|1|G089
10018787||N|0|1|G089
20011964||N|0|1|G089
20002324|1558480|N|1|8|G089
20066212|1271500|N|1|1|G089
20063282|1635950|R|1|1|G089
10012559||N|0|1|G089
20001214|1453530|N|1|10|G089
20045237|1642560|N|1|2|G089
20045192|1179490|R|1|1|G089
20054180||N|0|1|G089
20055109|1356010|R|1|1|G089
20062361||R|0|1|G089
20046976||N|0|12|G089
20065388||R|0|1|G089
20063733|1358430|N|1|2|G089
20056657||N|0|1|G089
20063324||N|0|1|G089
20064080|1373160|N|1|1|G089
20130483|1700950||1|1|G089
20131010|1574730||1|1|G089
20113683|1546630|Z|1|300|G089
20126223|1463930||1|0|G089
20119966|1587560|I|1|1|G089
20039665||N|0|1|G089
20039388||R|0|1|G089
20038625||N|0|1|G089
20040144||N|0|1|G089
20039063|1342010|N|1|1|G089
20027415|1520610|N|1|1|G089
20038638|1344370|R|1|1|G089
20062911|1342340|N|1|1|G089
10015394|0876460|N|1|1|G089
20024764||N|0|1|G089
10014267||N|0|1|G089
20018786|1133980|N|1|1|G089
20056618|1378440|N|1|24|G089
20054697|1286520|N|1|1|G089
20033915|1182180|N|1|1|G089
20033453||N|0|1|G089
20039702||N|0|1|G089
20122277|1522300|V|1|2|G089
