PLUIDM|PLUIGR|TAG|RENCENG|MINOR|KDIDM
20118157||Z|0|2|G089
20101907|1542810||1|2|G089
20080433|1822370|Z|1|1|G089
20123052|1569850||1|0|G089
20106238|1863370||1|1|G089
20128213|1660210||1|250|G089
20128724|1605370|I|1|1|G089
20096604|1470090|V|1|1|G089
20120429|1627800||1|1|G089
20124199|1564800||1|0|G089
20123679|||0|0|G089
20123703|||0|0|G089
20123701|||0|0|G089
20111497|||0|0|G089
20109557|1445990||1|1|G089
20082403|1411610||1|1|G089
20122659|1579780|I|1|1|G089
20124462|1416840|I|1|1|G089
20128131|1799120|Z|1|1|G089
20118161||Z|0|200|G089
20102121|1459650|R|1|2|G089
20101219|1461500|V|1|1|G089
20102836|1525130|N|1|4|G089
20101345|1462070|F|1|1|G089
20096186|1435220||1|1|G089
20106237|1863360||1|1|G089
20129364|1707800||1|1|G089
20126220|1463870||1|0|G089
20131336|1858430||1|0|G089
20131007|1860580||1|1|G089
20056971|1686450|Z|1|1|G089
20088732|1456630|N|1|10|G089
10036982|0643540||1|2|G089
20124062|1509910|Z|1|1|G089
10021008|0548740||1|24|G089
20123625|||0|0|G089
20122931|||0|0|G089
20105064|1709750|V|1|1|G089
20069483|1514430|R|1|1|G089
20069762||R|0|1|G089
20070814||N|0|1|G089
20071441|1529360|R|1|1|G089
20072062|1318610|N|1|1|G089
20071336||N|0|1|G089
20022930|1193030||1|1|G089
20130191|1619510||1|1|G089
20057362|1355810||1|2|G089
20124764|1445340|T|1|1|G089
20097795|1505240||1|1|G089
20127476|1736040|L|1|1|G089
20099164|1425430|T|1|1|G089
10000548|1203870||1|1|G089
20029331|1277660||1|1|G089
20128889|1974590||1|1|G089
20114661|1544770|T|1|16|G089
20095015|1511690|N|1|1|G089
20002415|1014580||1|3|G089
10013821|1714250||1|2|G089
10004331|0818720||1|2|G089
10016520|0455270||1|2|G089
10030397|1543600|V|1|1|G089
20096155|1581460||1|1|G089
20034353|1190740|V|1|1|G089
10036841|0812750|T|1|1|G089
10000735|0032070|N|1|1|G089
10034123|1006350|L|1|2|G089
20090383|1419610||1|2|G089
20021454|1148330||1|2|G089
20112359|1584100|N|1|4|G089
20109384|1483730|R|1|2|G089
20107238|1417580|N|1|4|G089
20112961|1631840|N|1|1|G089
20113910|1460110|N|1|2|G089
20123600|||0|0|G089
20043107|1204310|R|1|1|G089
20049065||N|0|1|G089
20049063||N|0|1|G089
20046986||N|0|1|G089
20060334||R|0|1|G089
20049041|1268350|N|1|1|G089
20041737||N|0|1|G089
20011780|1096440|N|1|1|G089
20048172||N|0|1|G089
20122435|1522540|Z|1|0|G089
20121390|1673660|Z|1|0|G089
20131334|1858410||1|0|G089
20118229|1465250||1|100|G089
10003653|0237530|L|1|1|G089
10010825|0391690||1|1|G089
20028670|1556920||1|1|G089
20091347|1266430||1|2|G089
20056487||R|0|1|G089
20038957|1154050||1|2|G089
20116867|1537220||1|1|G089
20124288|1416240|V|1|1|G089
20123258|1565500||1|1|G089
10005746|1008460||1|2|G089
20090355|1419190||1|2|G089
20114050|1460430|O|1|1|G089
20090482|1463460||1|1|G089
20053649|1402720||1|2|G089
20114433|1633630||1|1|G089
20088372|1432370||1|1|G089
10019118|0539710||1|2|G089
20092367|1375080||1|1|G089
20051842|1481040||1|2|G089
20038292|1191100||1|2|G089
10006334|0333300|L|1|2|G089
10008095|0452000|L|1|3|G089
20033547|1483200||1|2|G089
10040154|0890860||1|1|G089
20128380|1699430||1|1|G089
10005980|0254300||1|1|G089
20126302|1464240||1|1|G089
20069076|1557410||1|1|G089
10016716|0505840||1|1|G089
10003164|0061370|N|1|1|G089
20122294|1486900|T|1|1|G089
20096667|1470040||1|1|G089
10030279|0701020|R|1|1|G089
20052464||N|0|1|G089
20037422||N|0|1|G089
20009963||N|0|1|G089
20052670||N|0|1|G089
20049832||N|0|1|G089
20034884|1278170|R|1|1|G089
20025822||R|0|0|G089
20029200||R|0|1|G089
20053694|1378860|N|1|1|G089
20013643|1102970|N|1|2|G089
20120366|1627670|N|1|2|G089
20119750||R|0|1|G089
20120945|1420400|N|1|2|G089
20103582|1631450|R|1|1|G089
10037140|1238970||1|2|G089
20120877|1782530|L|1|2|G089
20050352|1355180||1|1|G089
20035693|1518860||1|1|G089
10009007|1095740||1|2|G089
20007308|1050510|T|1|2|G089
20098520|1490390||1|1|G089
10004487|0113620||1|48|G089
20115134|1545240||1|2|G089
10005660|0272850|L|1|1|G089
20130070|1691910||1|1|G089
10038352|0268170||1|2|G089
20054963|1352340|Z|1|1|G089
20118155||Z|0|5|G089
20093790|1552300|N|1|1|G089
20096419|1690560|N|1|1|G089
20098307|1467150|R|1|5|G089
20099303|1489520|R|1|1|G089
20099951|1423160|R|1|1|G089
20098245|1708890|R|1|1|G089
20131248|1439000||1|0|G089
20102304|1525070|N|1|1|G089
20098252|1466970|R|1|1|G089
20098599|1490570|R|1|6|G089
20106156|1863090|R|1|1|G089
20104840|1709320|F|1|1|G089
20105501|1824460|N|1|1|G089
20098467|1459400|N|1|1|G089
20073043|1410730||1|2|G089
20111591|1584360||1|4|G089
20107180|1417640|L|1|2|G089
20079972|1390390||1|12|G089
20060207|1445900||1|24|G089
20038425|1386740||1|2|G089
20042859|1289090||1|2|G089
20127834|1798530||1|2|G089
20102789|1710510|D|1|6|G089
20126464|1503640||1|6|G089
20077509|1979120||1|2|G089
20025649|1298960||1|1|G089
20090457|1419780||1|2|G089
20110266|1459810||1|2|G089
20121182|1470910||1|1|G089
20124423|1416620||1|1|G089
20130827|1508050||1|1|G089
20113713|1836330|R|1|1|G089
20122513|1561920|N|1|24|G089
20064473|1271400|N|1|2|G089
20063330|1358110|R|1|1|G089
20063347|1373550|R|1|1|G089
20075360|1549470|N|1|1|G089
20035266|1382740||1|1|G089
20090555|1432500|V|1|1|G089
20088417|1515930||1|1|G089
20128700|1605450||1|1|G089
20128703|1605410||1|1|G089
20074319|1311890||1|1|G089
20123649|||0|0|G089
20109706|1593640|Z|1|1|G089
20099544|1489640|Z|1|50|G089
20127829|1798770|Z|1|1|G089
20130910|1507300||1|1|G089
20131236|1439180|Z|1|1|G089
20123885|1509960||1|1|G089
20131748|1786410||1|1|G089
20120493|1420460|T|1|12|G089
10015814|0767220||1|1|G089
20099244|1415150|N|1|1|G089
10035030|0874010|L|1|2|G089
10010105|0357440||1|2|G089
20070579|1529160||1|25|G089
10010081|0357240|S|1|20|G089
10010090|0357320|S|1|2|G089
20009722|1072800|D|1|24|G089
20000786|1064360|S|1|24|G089
10037229|0452800|N|1|1|G089
10005198|0815100|D|1|1|G089
20123602|||0|0|G089
20012681|1097760|L|1|12|G089
10007336|0341420||1|2|G089
20033519|1575300||1|2|G089
20125507|1588670|V|1|1|G089
20103341|1525900||1|12|G089
20095753|1580700||1|2|G089
20107011|1427020||1|2|G089
20129863|1958190||1|2|G089
20010655|1077740||1|1|G089
20063488|1636310||1|2|G089
20056641|1356180|T|1|1|G089
20098389|1467300||1|1|G089
20092078|1502240||1|1|G089
20125198|1588470|I|1|1|G089
20111543|1583200|I|1|1|G089
20111544|1583180|I|1|1|G089
20120506|1427580||1|1|G089
20062626|1674580|N|1|1|G089
10000549|0396150||1|1|G089
10030867|0714070||1|2|G089
10000075|0001630||1|2|G089
10037392|0566690||1|1|G089
20029054|1503760||1|2|G089
10004884|0289000||1|2|G089
20106534|1425890|N|1|1|G089
20038549|1313490||1|1|G089
20091179|1383590||1|1|G089
10005601|1347040|L|1|2|G089
20010264|1075150||1|1|G089
20109049|1592810||1|1|G089
20109048|1592840||1|1|G089
10014260|0362840||1|1|G089
20125391|1588930||1|12|G089
10004032|1590400||1|2|G089
20008748|1345490||1|1|G089
20112960|1631830||1|1|G089
20094319|1524820|V|1|1|G089
20045508|1195660|T|1|1|G089
20122530|1580630||1|1|G089
20105925|1492300|I|1|1|G089
20105904|1492000|I|1|1|G089
20069857|1311110||1|1|G089
20115141|1545280|N|1|1|G089
20099992|1474800||1|1|G089
20013680|1104350||1|1|G089
20098873|1552380|V|1|1|G089
20098084|1574650||1|1|G089
20040013||R|0|1|G089
20058260||N|0|1|G089
20048868||N|0|1|G089
20053397||N|0|1|G089
10000986|0037310|N|1|1|G089
20033349||N|0|1|G089
20048663||N|0|1|G089
20003758|1024500|N|1|1|G089
20031984||N|0|1|G089
10031463|1196740||1|2|G089
20116527|1705150||1|2|G089
20117263|1486040|T|1|1|G089
20045438|1195450|N|1|1|G089
20122407|1522330||1|1|G089
20122406|1522350||1|1|G089
20043807|1704950||1|1|G089
20111592|1584370||1|4|G089
20072667|1360890|V|1|4|G089
20041937||N|0|2|G089
20093214|||0|2|G089
20121412|1673800||1|1|G089
20123670|||0|0|G089
20123664|||0|0|G089
10010084|0357270|L|1|10|G089
20026412|1383100||1|2|G089
20045609|1342910||1|12|G089
20025415|1674370||1|12|G089
20103442|1543540||1|40|G089
20084444|1498570||1|24|G089
20071981|1714170|N|1|2|G089
20073776|1311310|N|1|1|G089
20073853|1311810|N|1|1|G089
20073914|1317810|N|1|4|G089
20073936|1273850|R|1|1|G089
20075182|1549710|N|1|1|G089
20075350|1549590|N|1|1|G089
20075580|1550400|R|1|1|G089
10022742|0611410||1|5|G089
20055795|1379780|S|1|2|G089
20083490|1346410|S|1|10|G089
20066454|1271810|S|1|4|G089
20129114|1957320||1|12|G089
20000787|1031330|L|1|24|G089
20008843|1097460||1|1|G089
20077110|1281470||1|2|G089
20112367|1584020||1|2|G089
20039715|1531470|L|1|4|G089
20008567|1061310|R|1|1|G089
20002296|1110870|N|1|2|G089
20040004||R|0|24|G089
20054383|1298300|N|1|2|G089
20054752|1652580|N|1|1|G089
10003436||N|0|1|G089
20055600||N|0|1|G089
20017549||N|0|1|G089
20053972||R|0|1|G089
10010082|0357250|L|1|2|G089
20123283|1565940|S|1|10|G089
20129111|1957290||1|1|G089
20042860|1289060||1|2|G089
20032519|1260660||1|2|G089
10004442|0114360||1|5|G089
20080878|1265920||1|3|G089
20073867|1550410||1|1|G089
20111570|1583110|V|1|12|G089
10032229|0808360||1|2|G089
20048521|1335740||1|1|G089
20129844|1839900||1|2|G089
10036980|1456610||1|1|G089
20073638|1293330|S|1|2|G089
20124631|1580100||1|1|G089
20052566|1259650|N|1|2|G089
20076012|1351700|N|1|1|G089
20077023|1281450|N|1|1|G089
20076010|1351660|N|1|1|G089
20078727|1534420|N|1|1|G089
20081595|1303900|R|1|1|G089
20081611|1391180|R|1|1|G089
20081614|1391210|R|1|1|G089
20082657|1454290|R|1|1|G089
20083546|1531080|N|1|2|G089
20085165|1346330|N|1|60|G089
20120992|1420490|T|1|6|G089
20112586|1506130||1|1|G089
20021391|1148010||1|6|G089
20073425|1529820||1|1|G089
20087464|1336340||1|1|G089
20096641|1490260||1|1|G089
20128404|1746830||1|1|G089
20123635|||0|0|G089
20099414|1583610||1|6|G089
20123807|1487520|T|1|1|G089
20026187|1145280||1|1|G089
20001713|1009390||1|2|G089
20078830|1452580||1|12|G089
20062476||N|0|1|G089
20051195|1394780|N|1|1|G089
20050362|1394750|N|1|12|G089
20051509|1395370|N|1|1|G089
10031424|1318200|N|1|1|G089
20030596|1377580|N|1|2|G089
20045783||R|0|1|G089
20063101|1388520|N|1|1|G089
20062848||N|0|1|G089
20030633||N|0|1|G089
20024295||N|0|2|G089
20059972||R|0|1|G089
20021023||N|0|25|G089
20047753||R|0|1|G089
20037710||R|0|1|G089
20034984|1399180|N|1|1|G089
20099561|1489680|R|1|1|G089
20094419|1511540|N|1|1|G089
20097297|1538570|N|1|1|G089
20069863|1280120|N|1|5|G089
20068124|1311610|R|1|1|G089
20069852|1864890|N|1|1|G089
20071293|1281830|R|1|10|G089
20070818||N|0|1|G089
20071958||N|0|1|G089
20071363||N|0|1|G089
20074066|1274600|N|1|1|G089
20074007|1274080|N|1|2|G089
20067358|1479460|F|1|1|G089
20067577||N|0|1|G089
20067579||N|0|1|G089
20068140||N|0|1|G089
20069730||N|0|1|G089
20069333||N|0|1|G089
20071303||N|0|1|G089
20071085|1676110|N|1|1|G089
20071332||N|0|1|G089
20073142|1388750|N|1|1|G089
10000343||N|0|2|G089
20044752||N|0|0|G089
20038909||R|0|1|G089
20039174||R|0|1|G089
10016030|1219620|N|1|1|G089
20043776|1439570|N|1|2|G089
20045136|1532750|N|1|4|G089
10037199||F|0|1|G089
20031863||N|0|1|G089
20063506||N|0|1|G089
20040057|1277530|N|1|1|G089
20048846|1274860|N|1|24|G089
20037796|1356770|N|1|24|G089
20038577||N|0|4|G089
10026618|0749620|N|1|1|G089
20054371||N|0|1|G089
20054712||N|0|1|G089
20098737|1542950|N|1|1|G089
20102075|1459410|N|1|1|G089
20103798|1508840|R|1|1|G089
20101220|1461480|V|1|1|G089
20097167|1414690|N|1|3|G089
20103272|1525990|N|1|2|G089
20092374|1375090|N|1|2|G089
20097106|1414870|N|1|1|G089
20103251|1496810|N|1|6|G089
20105690|1491750|R|1|1|G089
20105248|1824370|R|1|1|G089
20109720|1593670|R|1|1|G089
20112448|1584380|R|1|6|G089
20082136|1391500|N|1|1|G089
20112341|1584060|N|1|4|G089
10028145|0765060|R|1|2|G089
20075624|1550460|N|1|12|G089
20076054|1351490|N|1|2|G089
20076117|1351730|N|1|1|G089
20077521|1334010|N|1|2|G089
10033561|1429700|N|1|1|G089
20083139|1530030|R|1|1|G089
20083149|1530000|N|1|1|G089
20083532|1530550|N|1|2|G089
10026566|1531070|N|1|1|G089
20084688|1499380|R|1|1|G089
20048882||N|0|1|G089
20056950||N|0|1|G089
20053855||N|0|1|G089
20053965||R|0|1|G089
20054266||R|0|1|G089
20017729||N|0|1|G089
20050320||N|0|1|G089
20054909||N|0|1|G089
20056974|1188240|N|1|1|G089
20064329||N|0|1|G089
20055271||N|0|1|G089
20046201|1179850|N|1|24|G089
20062472||N|0|1|G089
20054065||R|0|1|G089
20055220|1386590|F|1|1|G089
20015224||N|0|1|G089
20038445||R|0|1|G089
20047428|1256570|N|1|1|G089
20024836|1534140|N|1|40|G089
20037980||N|0|4|G089
20062518||N|0|1|G089
20057588||N|0|1|G089
20044125|1239700|N|1|1|G089
10000722|0031590|N|1|1|G089
20054818||N|0|6|G089
20053503||N|0|1|G089
10010099|1125830|N|1|10|G089
20048334||R|0|1|G089
20047404||R|0|1|G089
20010525|1259690|N|1|2|G089
20055683|1372410|N|1|2|G089
10024843|1322410|N|1|1|G089
20029354|1407710|R|1|1|G089
20048679||N|0|1|G089
20049541||N|0|1|G089
20046190||N|0|1|G089
20025847|1221710|R|1|1|G089
20037120|1203720|N|1|2|G089
20033497||N|0|1|G089
20050903|1355010|R|1|1|G089
20057028||N|0|1|G089
20072805|1529710|R|1|1|G089
20072641|1715220|N|1|1|G089
20072609|1686310|N|1|1|G089
20074053|1274610|N|1|1|G089
20074127|1345660|R|1|1|G089
20075346|1549440|N|1|1|G089
20074410|1686610|R|1|1|G089
20076133|1351520|N|1|2|G089
20061645||N|0|1|G089
20061196||N|0|1|G089
20050319||N|0|1|G089
20053739||N|0|1|G089
20052541|1473850|R|1|1|G089
20043044|1203590|R|1|1|G089
20049673||N|0|1|G089
20031525|1151660|R|1|1|G089
20050014|1443540|N|1|1|G089
20054966||N|0|1|G089
20010102||R|0|2|G089
20016002|1116790|R|1|1|G089
20044105|1202180|R|1|1|G089
20053919||N|0|1|G089
20055256|1387000|N|1|1|G089
20028984||N|0|1|G089
20028673||N|0|1|G089
20054797|1314540|R|1|1|G089
20044541|1240700|N|1|1|G089
20015662|1114720|R|1|1|G089
20041502|1277560|F|1|1|G089
20043762|1322140|N|1|2|G089
10008773|1520190|N|1|2|G089
20043764||R|0|1|G089
20046993|1368540|N|1|2|G089
10004567||N|0|20|G089
20057919|1481900|R|1|1|G089
20054968|1535300|R|1|1|G089
20132091||Z|0|75|G089
20128725|1605360|I|1|1|G089
20096602|1469610||1|1|G089
10003730|1402170||1|1|G089
20029782|1183150||1|12|G089
20067241|1479440||1|2|G089
20067246|1529260||1|1|G089
20056508|1356620||1|1|G089
20090447|1419750||1|1|G089
20123451|1487550||1|1|G089
20003007|1403530||1|1|G089
20110200|1506100|V|1|1|G089
20111640|1583380|T|1|1|G089
20112743|1506800||1|1|G089
20077045|1281400|N|1|1|G089
20073699|1372690|R|1|1|G089
20078201|1334470|N|1|1|G089
20079847|1389530|R|1|1|G089
20079362|1452700|R|1|0|G089
20082425|1429760|R|1|3|G089
20081446|||0|0|G089
20081627|1391300|R|1|1|G089
20081613|1391200|R|1|1|G089
20082691|1454730|N|1|1|G089
20083804|1393590|N|1|2|G089
20115199|1594380|N|1|1|G089
20117683|1501870|N|1|12|G089
20119276|1468950|F|1|1|G089
20119948|1587470|R|1|1|G089
20120518|1427930|N|1|1|G089
20097101|1782710|N|1|1|G089
20125912|1540770|N|1|2|G089
20123882|1533700|N|1|30|G089
20058275|1555830|N|1|1|G089
20053578|1401880|R|1|1|G089
20071650|1424690|N|1|2|G089
20060397||N|0|12|G089
20055267|1387030|N|1|1|G089
20029875||N|0|1|G089
10014078|0420940|N|1|3|G089
10037403|0882840|N|1|1|G089
10010083|0357260|N|1|0|G089
20056072||N|0|1|G089
20056791||N|0|1|G089
20038440||N|0|1|G089
20038922||N|0|1|G089
20040161||N|0|1|G089
20059264||R|0|1|G089
20009329||R|0|25|G089
20037984||R|0|1|G089
20044262|1328020|R|1|1|G089
20044003||R|0|1|G089
10036925|0819340|N|1|1|G089
10006253|1380070|N|1|1|G089
20031156|1246360|N|1|1|G089
20122479|1562040||1|1|G089
20055062|1535600||1|1|G089
20115271|1781400|L|1|2|G089
20044698|1382620||1|2|G089
20035278|1474970||1|2|G089
10036092|0880250||1|1|G089
20064091|1358870||1|1|G089
20120848|1683720|Z|1|0|G089
20040894|1324470|Z|1|1|G089
20087557|1336710|N|1|1|G089
20044261||R|0|1|G089
20008146|1288680|N|1|1|G089
20045976||N|0|1|G089
20049036||N|0|1|G089
20003977|1026070|N|1|1|G089
10034435||N|0|1|G089
20047695||N|0|1|G089
10011851|0375080|R|1|1|G089
10020162|1171680|N|1|2|G089
20042912|1327570|N|1|1|G089
20044150||R|0|1|G089
20044012|1155130|R|1|1|G089
20065238||N|0|1|G089
20064107|1359190|N|1|1|G089
20053680||N|0|1|G089
20054337||R|0|1|G089
20064981||N|0|1|G089
20066688|1349950|N|1|2|G089
20066043|1477980|R|1|1|G089
20067477|1372370|N|1|1|G089
20056846||N|0|1|G089
20026196||R|0|1|G089
20056355|1378150|N|1|1|G089
20060728||N|0|2|G089
20123504|1487040|N|1|1|G089
20071595|1273420|N|1|1|G089
20126498|1504480|N|1|12|G089
20066074||N|0|1|G089
20066191|1271530|N|1|1|G089
20073780||N|0|1|G089
20059793|1671340|N|1|1|G089
20065247|1263440|N|1|1|G089
20065362|1397080|N|1|1|G089
20012831|1095260||1|1|G089
20004385|1035030||1|2|G089
20044608|1355100||1|2|G089
10000313|0351590||1|2|G089
20124812|1445280|I|1|1|G089
20122460|1522500|L|1|2|G089
20037420||N|0|1|G089
20040500||F|0|1|G089
20036856||N|0|24|G089
20045700||F|0|1|G089
20035221||F|0|1|G089
20029204||R|0|1|G089
20029192||R|0|1|G089
20088876|1299030|N|1|1|G089
20089969|1667540|R|1|1|G089
20089974|1667560|R|1|1|G089
20091192|1295740|N|1|1|G089
20091794|1392260|R|1|1|G089
20069507|1514450|R|1|1|G089
20069756||N|0|1|G089
20070192||N|0|1|G089
20070194||N|0|1|G089
20049909|1494660|R|1|2|G089
20042443|1349230|R|1|1|G089
10003300|0530020|N|1|1|G089
20040755||N|0|1|G089
20038656|1302860|R|1|1|G089
20035472||N|0|1|G089
20052418||N|0|1|G089
20052873||N|0|1|G089
20061689||R|0|10|G089
20047567||N|0|1|G089
20065372|1397050|N|1|1|G089
20055232|1301430|N|1|1|G089
20064411|1274790|N|1|1|G089
20067173|1555080|N|1|1|G089
20065405||R|0|1|G089
20067708||N|0|1|G089
20067415|1372630|R|1|1|G089
20068139||N|0|1|G089
20067637|1529400|R|1|1|G089
20069325||N|0|1|G089
20069320||N|0|1|G089
20070977|1388820|R|1|1|G089
10021003|1476540|N|1|6|G089
20019446|1282120||1|2|G089
10003389|1503730||1|24|G089
20112794|1506870||1|5|G089
20009270|1391820||1|1|G089
20013617|1394550||1|1|G089
20059859|1592180||1|2|G089
10027768|0767200||1|2|G089
20084767|1545800||1|1|G089
20090773|1432980||1|3|G089
20124461|1416830|I|1|1|G089
20054906|1530300|N|1|2|G089
20093644|1523290|N|1|2|G089
20093016|1305360|N|1|1|G089
20093625|1488150|N|1|2|G089
20093993|1822570|R|1|4|G089
20094425|1433410|N|1|3|G089
20095137|1511250|F|1|2|G089
20053858|1544610|N|1|2|G089
20095149|1511700|R|1|1|G089
20097212|1414660|N|1|1|G089
20098082|1574600|N|1|1|G089
20098608|1490480|N|1|12|G089
20101083|1422400|N|1|2|G089
20098470|1602780|N|1|4|G089
20097160|1414820|N|1|1|G089
20098857|1552620|R|1|1|G089
20098256|1467010|R|1|1|G089
20098738|1462040|N|1|1|G089
20071319||N|0|1|G089
20072064|1318640|N|1|1|G089
20071352||N|0|1|G089
20029196||R|0|2|G089
20026198||R|0|1|G089
20039535||N|0|1|G089
20048929|1864660|N|1|1|G089
10026623|0884740|N|1|1|G089
20037503|1318110|R|1|1|G089
20019904|1226580|N|1|4|G089
20053569||N|0|1|G089
10037779|0889830|N|1|1|G089
20040683|1157410|R|1|2|G089
20048284|1166710|N|1|1|G089
20026220||N|0|1|G089
10000016|0000340|N|1|2|G089
10000109|0002500|N|1|2|G089
20054099|1297860|N|1|1|G089
20025004|1209200|F|1|2|G089
20071317|1343090|N|1|1|G089
20072024|1714510|N|1|1|G089
20073424|1411220|N|1|1|G089
20072327|1529600|R|1|1|G089
20052001||N|0|1|G089
20047234||R|0|1|G089
20034415||N|0|5|G089
20014137|1104970|N|1|4|G089
20055807||N|0|1|G089
20039833||N|0|5|G089
20059803|1388790|N|1|3|G089
20044820||R|0|3|G089
20045297||R|0|1|G089
10006537|1527670|N|1|2|G089
20038528||N|0|0|G089
20037495||N|0|3|G089
20078652|1390160||1|2|G089
20131747|1786430||1|1|G089
20123704|||0|0|G089
20123673|||0|0|G089
20128953|1563940|Z|1|150|G089
10036561|0084960|V|1|1|G089
10003974|1511120|E|1|6|G089
20073569|1317830|R|1|1|G089
20073571|1293180|N|1|24|G089
20074046|1274460|N|1|1|G089
20074123|1345620|R|1|1|G089
20075323|1549840|N|1|1|G089
20075347|1549540|N|1|1|G089
20074668|1686720|N|1|2|G089
20075571|1516480|N|1|12|G089
20075658|1497690|R|1|1|G089
20075753|1497860|R|1|1|G089
20075660|1497710|R|1|1|G089
20076141|1294310|R|1|1|G089
20075758|1497900|R|1|1|G089
20077009|1281100|N|1|1|G089
20077047|1281360|N|1|1|G089
20076004|1351560|N|1|1|G089
20077007|1281050|N|1|1|G089
20056949||N|0|1|G089
20061998||R|0|1|G089
20045603|1195550|R|1|1|G089
20061647||N|0|1|G089
20053862||N|0|1|G089
20042589||N|0|1|G089
10022864|0611980|R|1|1|G089
20014544||N|0|1|G089
20060637||N|0|1|G089
20062474||N|0|1|G089
10031864|0806660|N|1|3|G089
20053740||N|0|1|G089
20052397|1258920|N|1|2|G089
20052867|1681240|F|1|1|G089
20056498||N|0|1|G089
20056680||N|0|1|G089
20056455||N|0|1|G089
20042071||N|0|0|G089
20041201||N|0|2|G089
20054243|1298200|N|1|1|G089
20052862|1441980|N|1|1|G089
20055095||N|0|1|G089
20055150||N|0|1|G089
20027744|1403930|N|1|1|G089
20041565||N|0|2|G089
20008172|1077200|N|1|6|G089
20054817|1314690|F|1|1|G089
10036875|0220360|V|1|4|G089
20074300|1317890||1|1|G089
20064435|1418990|T|1|1|G089
20001606|1562100||1|1|G089
20094203|1433960|S|1|10|G089
10010074|0357180|E|1|10|G089
20004283|1028340|D|1|10|G089
20113820|1459820|V|1|6|G089
20062868|1341290||1|3|G089
20069199|1557900||1|1|G089
10036261|1398180|R|1|6|G089
20079836|1295120|N|1|1|G089
20079646|1530310|N|1|1|G089
20083145|1529930|N|1|2|G089
20054907|1535110|N|1|1|G089
20039293||N|0|6|G089
20058079||N|0|1|G089
20051680||N|0|1|G089
20051696||N|0|1|G089
20051679||N|0|1|G089
10007096|0311240|N|1|1|G089
20049693||N|0|1|G089
20049066||N|0|1|G089
20045308|1532530|N|1|1|G089
20070981|1388830|R|1|1|G089
20070830||N|0|1|G089
20071725||N|0|1|G089
20069786|1359450|R|1|12|G089
20071327||N|0|1|G089
20071330||N|0|1|G089
20073397|1265080|R|1|1|G089
20074043|1274400|N|1|1|G089
20044695|1159870|N|1|2|G089
20044586||N|0|1|G089
20043771|1864080|N|1|1|G089
20054772|1534790|N|1|1|G089
20061165||N|0|1|G089
20041112||N|0|1|G089
20061648||N|0|1|G089
20018946|1141020|N|1|1|G089
20060642||N|0|1|G089
20062654||N|0|1|G089
20072801|1373890||1|12|G089
20129814|1839780||1|2|G089
20054754|1395960||1|2|G089
20109877|1434530||1|2|G089
20095876|1581040|L|1|2|G089
20121396|1540290||1|1|G089
20036047|1144670||1|12|G089
20086588|1687280||1|2|G089
20094698|1434240||1|1|G089
10036625|0053250|N|1|1|G089
20047965|1257090||1|2|G089
20120361|1627030||1|2|G089
20034988|1147220|N|1|1|G089
20038700||N|0|1|G089
20047293||R|0|1|G089
20045064||R|0|1|G089
20049895||N|0|1|G089
20044706||R|0|1|G089
10011923|0399650|N|1|2|G089
20038022||R|0|1|G089
20037877||N|0|1|G089
20037244||N|0|1|G089
20063026||N|0|1|G089
10001442|0042370|N|1|1|G089
20074401|1686570|N|1|1|G089
20075172|1549280|N|1|1|G089
20077333|1353090|N|1|2|G089
20077573|1453610|N|1|2|G089
20079013|1452640|N|1|1|G089
20080068|1390530|N|1|2|G089
20075631|1448870|N|1|10|G089
20082199|1391780|N|1|1|G089
20081591|1303860|R|1|1|G089
20047205||R|0|1|G089
10010661|0791210|N|1|12|G089
20052275||F|0|1|G089
20053711||N|0|1|G089
20052314|1259010|F|1|1|G089
20049015||N|0|1|G089
20043420|1367190|R|1|1|G089
20072637|1715200|N|1|1|G089
20073804|1293830|N|1|3|G089
20073761||N|0|1|G089
20071026|1514410|R|1|1|G089
20073854|1311800|N|1|1|G089
20074058|1320690|N|1|1|G089
20074060|1320680|N|1|1|G089
20036713|1188480||1|1|G089
20099549|1536140||1|1|G089
20099766|1536130||1|2|G089
20129054|1972960||1|1|G089
10003414|0068990|V|1|24|G089
20005587|1155640||1|1|G089
20092229|1436950|N|1|1|G089
20103594|1631500|N|1|5|G089
20095148|1511720|N|1|1|G089
20101295|1461690|R|1|1|G089
20098861|1552660|R|1|1|G089
20099859|1423010|N|1|1|G089
20106136|1863110|N|1|1|G089
20105241|1415310|R|1|1|G089
20094809|1457060|R|1|1|G089
20113381|1941950|N|1|2|G089
20113840|1459800|R|1|1|G089
20113324|1941790|N|1|2|G089
20119478|1435950|R|1|1|G089
20031985||N|0|1|G089
20032343||N|0|1|G089
20037734||N|0|2|G089
20034195||R|0|1|G089
10016372|0464080|N|1|10|G089
20024315|1240750|N|1|2|G089
20055764|1356600|N|1|1|G089
10037356|1141090|N|1|1|G089
20052148|1301050|R|1|1|G089
20062900|1380630|R|1|1|G089
20034342|1190730|R|1|2|G089
20075801|1498080|N|1|2|G089
20076783||R|0|1|G089
20079350|1453900|N|1|1|G089
20082407|1429730|R|1|1|G089
20082197|1411520|R|1|1|G089
20081562|1320280|R|1|1|G089
20082944|1529900|N|1|1|G089
20083617|1530800|N|1|2|G089
20085278|1347100|N|1|2|G089
10008882|0345860|D|1|6|G089
20128719|1605110||1|1|G089
20052902|1442320||1|1|G089
20045346|1532640|V|1|1|G089
