KODEGUDANG|NAMAFILE|KODETOKO|TANGGAL
44|NPBGI44F43A202403230959.ZIP|F43A|23/03/2024 9:59:03 AM
44|NPBGI44TJIQ202403231104.ZIP|TJIQ|23/03/2024 11:04:41 AM
44|NPBGI44T7F1202403231106.ZIP|T7F1|23/03/2024 11:06:53 AM
44|NPBGI44F8R3202403231336.ZIP|F8R3|23/03/2024 1:36:18 PM
44|NPBGI44T8JQ202403230954.ZIP|T8JQ|23/03/2024 9:55:00 AM
44|NPBGI44T04N202403230955.ZIP|T04N|23/03/2024 9:55:39 AM
44|NPBGI44T3SI202403230957.ZIP|T3SI|23/03/2024 9:57:41 AM
44|NPBGI44F43A202403231000.ZIP|F43A|23/03/2024 10:00:24 AM
44|NPBGI44T34E202403231005.ZIP|T34E|23/03/2024 10:05:53 AM
44|NPBGI44T5DG202403231029.ZIP|T5DG|23/03/2024 10:29:50 AM
44|NPBGI44F8C4202403231032.ZIP|F8C4|23/03/2024 10:32:49 AM
44|NPBGI44TOII202403231113.ZIP|TOII|23/03/2024 11:13:00 AM
44|NPBGI44T7G5202403231113.ZIP|T7G5|23/03/2024 11:13:58 AM
44|NPBGI44F17D202403231155.ZIP|F17D|23/03/2024 11:55:39 AM
44|NPBGI44TQIW202403231032.ZIP|TQIW|23/03/2024 10:32:26 AM
44|NPBGI44T7F1202403231105.ZIP|T7F1|23/03/2024 11:05:23 AM
44|NPBGI44T3V9202403231105.ZIP|T3V9|23/03/2024 11:05:49 AM
44|NPBGI44F875202403231112.ZIP|F875|23/03/2024 11:12:38 AM
44|NPBGI44F11A202403231335.ZIP|F11A|23/03/2024 1:35:41 PM
44|NPBGI44F95V202403231154.ZIP|F95V|23/03/2024 11:54:23 AM
44|NPBGI44TY11202403231156.ZIP|TY11|23/03/2024 11:56:35 AM
44|NPBGI44THVJ202403230954.ZIP|THVJ|23/03/2024 9:54:11 AM
44|NPBGI44F21U202403230955.ZIP|F21U|23/03/2024 9:55:12 AM
44|NPBGI44FVKQ202403230946.ZIP|FVKQ|23/03/2024 9:46:36 AM
44|NPBGI44TAYN202403230955.ZIP|TAYN|23/03/2024 9:55:26 AM
